experiment_id,stage,status,lab_commit,minimind_commit,base_weight,dataset,hardware,dtype,seed,swanlab_url,report_path,checkpoint_url,started_at,finished_at
L00-code-baseline-20260907,phase3-lora,completed,0d5125e307463976ed795ab735fc67f4e46f9150,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,code-domain-v1r1,L20,float16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/980w5n9d,experiments/03-lora/L00-code-baseline-20260907/report.md,local-cpfs:/data/artifacts/minimind-lab/S10-ifeval-curriculum-v4-20260907/checkpoints/s08_best_val_768.pth,2026-09-07,2026-09-08
L01-code-full-ft-20260907,phase3-lora,completed,0d5125e307463976ed795ab735fc67f4e46f9150,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,code-domain-v1r1,6xL20,bfloat16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/pz1x0ux9,experiments/03-lora/L01-code-full-ft-20260907/report.md,local-cpfs:/data/artifacts/minimind-lab/L01-code-full-ft-20260907/checkpoints/l01_best_val_768.pth,2026-09-07,2026-09-08
L02-code-lora-r16-20260907,phase3-lora,completed,0d5125e307463976ed795ab735fc67f4e46f9150,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,code-domain-v1r1,6xL20,bfloat16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/s0l5ishg,experiments/03-lora/L02-code-lora-r16-20260907/report.md,local-cpfs:/data/artifacts/minimind-lab/L02-code-lora-r16-20260907/checkpoints/l02_adapter_best_val_768.pth,2026-09-07,2026-09-08
D01-s10-preference-baseline-20260908,phase4-dpo,completed,235de0fe0877896043caec4f326792e48948a442,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,official-dpo-v1,1xL20,bfloat16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/os17qekn,experiments/04-dpo/D01-s10-preference-baseline-20260908/report.md,local-cpfs:/data/artifacts/minimind-lab/D01-s10-preference-baseline-20260908/exported-fp32/model.safetensors,2026-09-08,2026-09-08T03:52:11Z
D02-chosen-only-sft-20260908,phase4-dpo,completed,235de0fe0877896043caec4f326792e48948a442,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,official-dpo-v1,1xL20,bfloat16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/51vdt97x,experiments/04-dpo/D02-chosen-only-sft-20260908/report.md,local-cpfs:/data/artifacts/minimind-lab/D02-chosen-only-sft-20260908/last_fp32_recovered.pth,2026-09-08,2026-09-08T03:52:11Z
D03-dpo-official-20260908,phase4-dpo,completed-not-promoted,235de0fe0877896043caec4f326792e48948a442,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,official-dpo-v1,1xL20,bfloat16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/3w1au7dk,experiments/04-dpo/D03-dpo-official-20260908/report.md,local-cpfs:/data/artifacts/minimind-lab/D03-dpo-official-20260908/last_fp32_recovered.pth,2026-09-08,2026-09-08T03:52:11Z
R01A-s10-math-baseline-20260908,phase5-verifiable-rl,invalidated-data-confound,8604d0cb277bc2fa86f1ce30060ee85fcbec5a44,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-math-v1,1xL20,float32+bf16-autocast,42,n/a-no-training,experiments/04-grpo-cispo/R01A-s10-math-baseline-20260908/report.md,,2026-09-08,2026-09-08
R01B-math-sft-control-20260908,phase5-verifiable-rl,invalidated-data-confound,8604d0cb277bc2fa86f1ce30060ee85fcbec5a44,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-math-v1,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/s587mp6r,experiments/04-grpo-cispo/R01B-math-sft-control-20260908/report.md,,2026-09-08,2026-09-08
R01C-math-grpo-20260908,phase5-verifiable-rl,invalidated-data-confound,8604d0cb277bc2fa86f1ce30060ee85fcbec5a44,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-math-v1,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/89ptosrv,experiments/04-grpo-cispo/R01C-math-grpo-20260908/report.md,,2026-09-08,2026-09-08
R01D-math-cispo-20260908,phase5-verifiable-rl,invalidated-data-confound,8604d0cb277bc2fa86f1ce30060ee85fcbec5a44,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-math-v1,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/ecv3zn1h,experiments/04-grpo-cispo/R01D-math-cispo-20260908/report.md,,2026-09-08,2026-09-08
R02A-s10-math-baseline-20260908,phase5-verifiable-rl,completed,6d7d055,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-math-v2,1xL20,float32+bf16-autocast,42,n/a-no-training,experiments/04-grpo-cispo/R02A-s10-math-baseline-20260908/report.md,local-cpfs:/data/artifacts/minimind-lab/D01-s10-preference-baseline-20260908/exported-fp32/model.safetensors,2026-09-08,2026-09-08T05:33:49Z
R02B-math-sft-control-20260908,phase5-verifiable-rl,completed-control-failed,6d7d055,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-math-v2,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/wqhvn9wd,experiments/04-grpo-cispo/R02B-math-sft-control-20260908/report.md,local-cpfs:/data/artifacts/minimind-lab/R02B-math-sft-control-20260908/model-fp32/model.safetensors,2026-09-08,2026-09-08T05:33:49Z
R02C-math-grpo-20260908,phase5-verifiable-rl,completed-not-promoted,6d7d055,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-math-v2,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/6t4l6v1o,experiments/04-grpo-cispo/R02C-math-grpo-20260908/report.md,local-cpfs:/data/artifacts/minimind-lab/R02C-math-grpo-20260908/model-fp32/model.safetensors,2026-09-08,2026-09-08T05:33:49Z
R02D-math-cispo-20260908,phase5-verifiable-rl,completed-not-promoted,6d7d055,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-math-v2,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/k6ez8f9j,experiments/04-grpo-cispo/R02D-math-cispo-20260908/report.md,local-cpfs:/data/artifacts/minimind-lab/R02D-math-cispo-20260908/model-fp32/model.safetensors,2026-09-08,2026-09-08T05:33:49Z
R03W-mod10-warmstart-20260908,phase5-verifiable-rl,planned-probe-selection,2bf6251,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-mod10-v1,1xL20,float32+bf16-autocast,42,pending,experiments/04-grpo-cispo/R03W-mod10-warmstart-20260908/report.md,,2026-09-08,
R03A-warmstart-baseline-20260908,phase5-verifiable-rl,planned,2bf6251,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-mod10-v1,1xL20,float32+bf16-autocast,42,pending,experiments/04-grpo-cispo/R03A-warmstart-baseline-20260908/report.md,,2026-09-08,
R03B-mod10-sft-control-20260908,phase5-verifiable-rl,planned,2bf6251,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-mod10-v1,1xL20,float32+bf16-autocast,42,pending,experiments/04-grpo-cispo/R03B-mod10-sft-control-20260908/report.md,,2026-09-08,
R03C-mod10-grpo-20260908,phase5-verifiable-rl,planned,2bf6251,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-mod10-v1,1xL20,float32+bf16-autocast,42,pending,experiments/04-grpo-cispo/R03C-mod10-grpo-20260908/report.md,,2026-09-08,
R03D-mod10-cispo-20260908,phase5-verifiable-rl,planned,2bf6251,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,verifiable-mod10-v1,1xL20,float32+bf16-autocast,42,pending,experiments/04-grpo-cispo/R03D-mod10-cispo-20260908/report.md,,2026-09-08,
A00-s10-agent-baseline-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,record-agent-v1-validation,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/p3yd932a,experiments/05-agentic-rl/A00-s10-agent-baseline-20260908/report.md,,2026-09-08T08:30:25Z,2026-09-08
A01-agent-sft-pilot-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@46aeab66,record-agent-v1-pilot,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/jkra8o25,experiments/05-agentic-rl/A01-agent-sft-pilot-20260908/report.md,,2026-09-08T08:30:33Z,2026-09-08
A01-v2-transfer-baseline-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,/data/artifacts/minimind-lab/A01-agent-sft-pilot-20260908/checkpoint-300,record-agent-v2,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/1t7ndogk,experiments/05-agentic-rl/A01-v2-transfer-baseline-20260908/report.md,,2026-09-08,2026-09-08
A01-agent-sft-v2-pilot-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,/data/artifacts/minimind-lab/A01-agent-sft-pilot-20260908/checkpoint-300,record-agent-v2,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/mabi301l,experiments/05-agentic-rl/A01-agent-sft-v2-pilot-20260908/report.md,,2026-09-08,2026-09-08
A01-v2-counterfactual-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,/data/artifacts/minimind-lab/A01-agent-sft-v2-pilot-20260908/checkpoint-225,record-agent-v2,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/miy5qid6,experiments/05-agentic-rl/A01-v2-counterfactual-20260908/report.md,,2026-09-08,2026-09-08
A01-v2-rl-eligibility-probe-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,/data/artifacts/minimind-lab/A01-agent-sft-v2-pilot-20260908/checkpoint-225,record-agent-v2,1xL20,float32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/hsn1xolt,experiments/05-agentic-rl/A01-v2-rl-eligibility-probe-20260908/report.md,,2026-09-08,2026-09-08
A00-v2-frozen-test-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,/data/artifacts/minimind-lab/D01-s10-preference-baseline-20260908/exported-fp32,record-agent-v2,1xL20,agent-fp32+bf16; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/j3b8qcu0,experiments/05-agentic-rl/A00-v2-frozen-test-20260908/report.md,,2026-09-08,2026-09-08
A01-v2-frozen-test-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,/data/artifacts/minimind-lab/A01-agent-sft-v2-pilot-20260908/checkpoint-225,record-agent-v2,1xL20,agent-fp32+bf16; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/gfltoxnx,experiments/05-agentic-rl/A01-v2-frozen-test-20260908/report.md,,2026-09-08,2026-09-08
A01-v2-evaluation-summary-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,multiple; see phase6-v2-report.md,record-agent-v2,1xL20,agent-fp32+bf16; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/8yso53w9,experiments/05-agentic-rl/A01-v2-evaluation-summary-20260908/report.md,,2026-09-08,2026-09-08
A01-v3-mixed-lr3e6-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@851ad62d5898,mixed-agent-v3-r1,1xL20,fp32+bf16; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/52u6fhj4,experiments/05-agentic-rl/A01-v3-mixed-lr3e6-20260908/report.md,,2026-09-08,2026-09-08
A01-v3-mixed-lr1e6-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@851ad62d5898,mixed-agent-v3-r1,1xL20,fp32+bf16; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/5h3qys7d,experiments/05-agentic-rl/A01-v3-mixed-lr1e6-20260908/report.md,,2026-09-08,2026-09-08
A00-v3-s10-graph-validation-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@851ad62d5898,mixed-agent-v3-r1,1xL20,fp32+bf16; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/1a6xkwzx,experiments/05-agentic-rl/A00-v3-s10-graph-validation-20260908/report.md,,2026-09-08,2026-09-08
A00-v3-s10-tools-validation-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@851ad62d5898,mixed-agent-v3-r1,1xL20,fp32+bf16; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/wtets9k0,experiments/05-agentic-rl/A00-v3-s10-tools-validation-20260908/report.md,,2026-09-08,2026-09-08
A01-v3-validation-summary-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10@851ad62d5898,mixed-agent-v3-r1,1xL20,fp32+bf16; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/p6sbux9p,experiments/05-agentic-rl/A01-v3-validation-summary-20260908/report.md,,2026-09-08,2026-09-08
A01-v3-agent-rl-probe-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/0a9nthb8,experiments/05-agentic-rl/A01-v3-agent-rl-probe-20260908/report.md,,2026-09-08,2026-09-08
A01-v3-agent-rl-fp32-probe-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/494uwnlh,experiments/05-agentic-rl/A01-v3-agent-rl-fp32-probe-20260908/report.md,,2026-09-08,2026-09-08
A02-agentic-grpo-v1-20260908,phase6-agentic,invalidated,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/1hza7eyl,experiments/05-agentic-rl/A02-agentic-grpo-v1-20260908/report.md,,2026-09-08,2026-09-08
A03-agentic-cispo-v1-20260908,phase6-agentic,invalidated,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32+bf16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/fgvlab1b,experiments/05-agentic-rl/A03-agentic-cispo-v1-20260908/report.md,,2026-09-08,2026-09-08
A02-agentic-grpo-v2-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/1pxh36vn,experiments/05-agentic-rl/A02-agentic-grpo-v2-20260908/report.md,,2026-09-08,2026-09-08
A03-agentic-cispo-v2-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/vdwjd3sg,experiments/05-agentic-rl/A03-agentic-cispo-v2-20260908/report.md,,2026-09-08,2026-09-08
A01-agentic-rl-v2-val-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/60s7cgkf,experiments/05-agentic-rl/A01-agentic-rl-v2-val-20260908/report.md,,2026-09-08,2026-09-08
A01-agentic-rl-v2-test-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/37rec37k,experiments/05-agentic-rl/A01-agentic-rl-v2-test-20260908/report.md,,2026-09-08,2026-09-08
A02-agentic-rl-v2-val-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/0l8s0wh8,experiments/05-agentic-rl/A02-agentic-rl-v2-val-20260908/report.md,,2026-09-08,2026-09-08
A02-agentic-rl-v2-test-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/l6kyh7yq,experiments/05-agentic-rl/A02-agentic-rl-v2-test-20260908/report.md,,2026-09-08,2026-09-08
A03-agentic-rl-v2-val-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/yognri61,experiments/05-agentic-rl/A03-agentic-rl-v2-val-20260908/report.md,,2026-09-08,2026-09-08
A03-agentic-rl-v2-test-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/op09vul1,experiments/05-agentic-rl/A03-agentic-rl-v2-test-20260908/report.md,,2026-09-08,2026-09-08
A02-A03-rl-v2-summary-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,A01-v3@29b3428831f3,mixed-agent-v3-r1,1xL20,fp32; behavior-fp16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/563ab2ac,experiments/05-agentic-rl/A02-A03-rl-v2-summary-20260908/report.md,,2026-09-08,2026-09-08
A00-s10-general-regression-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,851ad62d58986bc72b6d8b0e17ebd06e6635f8f5c7161aff8e50ab1104569bce,ifeval541+official-seven-full,1xL20,float16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/0cb93996,experiments/05-agentic-rl/A00-s10-general-regression-20260908/report.md,,2026-09-08,2026-09-08
A01-general-regression-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,29b3428831f338a55e347ffb59d5837739929c3abcddd1feb8ab9d9dddd03af8,ifeval541+official-seven-full,1xL20,float16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/da935c86,experiments/05-agentic-rl/A01-general-regression-20260908/report.md,,2026-09-08,2026-09-08
A02-general-regression-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,502f2100d9fa5e0c217b3e509354e4825522f4816b082e12d85467c8ec500962,ifeval541+official-seven-full,1xL20,float16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/c74379f7,experiments/05-agentic-rl/A02-general-regression-20260908/report.md,,2026-09-08,2026-09-08
A03-general-regression-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,1350d1872eca4b042be2b38f7f5cf477303c0a8647b14edabb2828664e9db43d,ifeval541+official-seven-full,1xL20,float16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/a739ed89,experiments/05-agentic-rl/A03-general-regression-20260908/report.md,,2026-09-08,2026-09-08
A00-A03-general-regression-20260908,phase6-agentic,completed,234797d+phase6-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,S10+A01+A02+A03; see manifests,ifeval541+official-seven-full,1xL20-per-arm,float16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/79f294dc,experiments/05-agentic-rl/A00-A03-general-regression-20260908/report.md,,2026-09-08,2026-09-08
M00-dense-probe-s42-20260908,phase7-moe-probe,completed,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random,P03-final-remix-v1;400rows diagnostic,1xL20 GPU7,FP32+BF16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/qtfry4f7,experiments/06-moe/M00-dense-probe-s42-20260908/report.md,,2026-09-08,2026-09-08
M00-moe-probe-s42-20260908,phase7-moe-probe,completed,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random,P03-final-remix-v1;400rows diagnostic,1xL20 GPU7,FP32+BF16-autocast,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/zn6tg5eb,experiments/06-moe/M00-moe-probe-s42-20260908/report.md,,2026-09-08,2026-09-08
M00-moe-probe-s43-20260908,phase7-moe-probe,completed,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random,P03-final-remix-v1;400rows diagnostic,1xL20 GPU7,FP32+BF16-autocast,43,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/nkxulnb9,experiments/06-moe/M00-moe-probe-s43-20260908/report.md,,2026-09-08,2026-09-08
